Part,Value,Device,Package,Description,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,SUPPLIER,VALUE
BTN,DHT-4235A,SMD-BUTTON-TOP-DHT-4235A(4P-4.2X3.2MM),SW4-SMD-4.2X3.2X2.5MM,311020045,DHT-4235A,,,,,DHT-4235A
C1,100nF,CAP0805-CAP,0805-CAP,Capacitor,,,,,,
C2,10uF,CAP0805-CAP-LARGEPADS,0805-CAP-LARGEPADS,Capacitor,,,,,,
C3,100nF,CAP0805-CAP,0805-CAP,Capacitor,,,,,,
D1,1N4148,D-ESD-2P-CESD5V0D1,SOD123-2.7X1.6,Diodes for Protectiong against ESD,,,,,,
GROVE_I2C,4P-2.0,GROVE-CONNECTOR-DIP(4P-2.0),HW4-2.0,320110033,,,,,,4P-2.0
I2C_OLED,CON_HEADER_1X04'NO_LOCK',CON_HEADER_1X04'NO_LOCK',1X04_NO_LOCK,,,,,,,
J$2,ANTENNATINY,ANTENNATINY,SMA_UFL_PAD_TINY,SMA Antenna Connector,,,,,,
JP2,RXLED,JUMPER-PAD-2-NC_BY_TRACE,PAD-JUMPER-2-NC_BY_TRACE_YES_SILK,,,,,,,
JP3,JUMPER-PAD-2-NC_BY_TRACE,JUMPER-PAD-2-NC_BY_TRACE,PAD-JUMPER-2-NC_BY_TRACE_YES_SILK,,,,,,,
JRF,,JUMPER-PAD-2-NO,PAD-JUMPER-2-NO_NO_SILK,,,,,,,
JRN,,JUMPER-PAD-2-NO,PAD-JUMPER-2-NO_NO_SILK,,,,,,,
R1,4.7K,RESISTOR0805-RES,0805-RES,Resistor,,,,,,
R2,4.7K,RESISTOR0805-RES,0805-RES,Resistor,,,,,,
U$1,LOLIN32  LITE,LOLIN32_LITELITE,LOLIN32_LITE,,,,,,,
U$2,PAD-JUMPER-SWAPSWAP,PAD-JUMPER-SWAPSWAP,PAD-JUMPER-SWAP,,,,,,,
U$3,PAD-JUMPER-SWAPSWAP,PAD-JUMPER-SWAPSWAP,PAD-JUMPER-SWAP,,,,,,,
U$5,RFM95,RFM95,RFM95,,,,,,,
U$7,RN2483,RN2483_NOGPIO868,RN2483_NOGPIO_868,,,,,,,
U1,24AA02E64T,24AA02E64T-I/OT,SOT95P270X145-5N,2K I2Câ„¢ Serial EEPROMs,,,,,,
WS2812,WS2812B,WS2812BSMD,WS2812B,,,,,,,
